,corrected_filings,conm,GVKEY,sic,rd_int,sale,fyear,at,cap_int,lvg,rd_int,roa,optvol,tobin,age,Internal Communication,Support from management,Freedom to work independently,Overall compensation for your work
0,423.24209250907234,3M CO,7435,2670,0.0549575292597957,25269.0,2008,25547.0,0.0575801463968372,0.685899382528596,0.0549575292597957,0.135436646181548,21.7,2.17538122754139,696,,,,
1,537.1394141525354,3M CO,7435,2670,0.0474495412844037,23123.0,2009,27250.0,0.0331376146788991,0.455734879348167,0.0474495412844037,0.117174311926606,30.3,2.68738419559633,708,,,,
2,548.2715508050784,3M CO,7435,2670,0.0475527258257063,26662.0,2010,30156.0,0.0361785382676748,0.354082870459044,0.0475527258257063,0.135462262899589,25.94,2.5181291086351,720,,,,
3,438.8150177644789,3M CO,7435,2670,0.0496584008097166,29611.0,2011,31616.0,0.0436171558704453,0.340142671854734,0.0496584008097166,0.135469382591093,22.0,2.3088277486083,732,,,,
4,435.92433849622097,3M CO,7435,2670,0.0482347384579053,29904.0,2012,33876.0,0.0438068248907781,0.345490753911807,0.0482347384579053,0.131184319282088,24.5,2.36443181603495,744,,,,
5,439.6868479925201,3M CO,7435,2670,0.0511177347242921,30871.0,2013,33550.0,0.0496274217585693,0.346646097588847,0.0511177347242921,0.138867362146051,20.0,3.25112560357675,756,,,,
6,370.6010091479104,3M CO,7435,2670,0.0566055838050465,31821.0,2014,31269.0,0.0477469698423359,0.526050804790602,0.0566055838050465,0.15849563465413,20.8,3.91842985704691,768,3.6,4.0,4.1,4.4
7,398.7997611549801,3M CO,7435,2670,0.0538847117794486,30274.0,2015,32718.0,0.0446543187236384,0.926118893064571,0.0538847117794486,0.147716853108381,20.1,3.44762733663427,780,3.1666666666666665,3.625,3.8181818181818175,3.583333333333333
8,278.717148636301,3M CO,7435,2670,0.0527259466358719,30109.0,2016,32906.0,0.0431532243359874,1.13565740920567,0.0527259466358719,0.15346745274418,20.8,3.92528298243481,792,3.2222222222222223,2.896551724137931,3.7857142857142856,3.6
9,289.4656056090316,3M CO,7435,2670,0.0487008713507252,31657.0,2017,37987.0,0.0361439439808355,1.21153679840872,0.0487008713507252,0.127885855687472,17.3,4.38154755784874,804,3.2934782608695654,3.336842105263158,3.591397849462365,3.7
10,464.6277731762409,3M CO,7435,2670,0.0498904109589041,32765.0,2018,36500.0,0.0432054794520548,1.50030624744794,0.0498904109589041,0.146547945205479,21.0,3.74149590410959,816,3.704918032786885,3.819672131147541,4.0,4.016393442622951
11,373.1063134599319,3M CO,7435,2670,0.0427909268008688,32136.0,2019,44659.0,0.038043843346246,2.11656563649011,0.0427909268008688,0.102330997111444,20.4,3.04686933652791,828,3.84,3.84,4.04,4.16
12,377.1812375831864,ABBOTT LABORATORIES,1078,3845,0.0656793795564858,29527.552,2008,42419.204,0.0303570995815952,0.707185442005919,0.0656793795564858,0.115059184043152,24.0,2.54113684476493,696,,,,
13,386.3221734886007,ABBOTT LABORATORIES,1078,3845,0.0555879572783619,30764.707,2009,52416.623,0.0207767677059241,0.72157368511483,0.0555879572783619,0.109618622321396,22.0,2.16169126958064,708,,,,
14,367.6150700934579,ABBOTT LABORATORIES,1078,3845,0.067902289495661,35166.721,2010,59462.266,0.017070910146613,0.845013798603591,0.067902289495661,0.0778001295813382,22.0,1.86992763511569,720,,,,
15,342.4359107506994,ABBOTT LABORATORIES,1078,3845,0.0796642587400781,38851.259,2011,60276.893,0.0247441420047978,0.630715316262595,0.0796642587400781,0.0784454666566839,21.0,2.05948689442238,732,,,,
16,306.69147105175847,ABBOTT LABORATORIES,1078,3845,0.0685682433229958,39873.91,2012,67234.944,0.0267017252219322,0.766288457963769,0.0685682433229958,0.0886878109097555,21.0,2.13855568170028,744,,,,
17,301.0304795116608,ABBOTT LABORATORIES,1078,3845,0.0338043908458082,21848.0,2013,42953.0,0.0266570437454893,0.26065710539907,0.0338043908458082,0.0599725281121226,20.0,1.79546472516471,756,,,,
